SpeciesName,year_of,month_of,avail,SpeciesCode,biomass_total_kg,biomass_max_kg_ha,biomass_monthly_kg,ColorCategory,FruitAbundanceCategory
Psidium guajava,2019,Aug,0,PGUA,96.77708355,6.366913391,0,con,Low
Psidium guajava,2019,Sep,0,PGUA,96.77708355,6.366913391,0,con,High
Psidium guajava,2019,Oct,0,PGUA,96.77708355,6.366913391,0,con,High
Psidium guajava,2019,Nov,0,PGUA,96.77708355,6.366913391,0,con,High
Quercus oleoides,2019,Jun,0,QOLE,3582.825595,235.7122102,0,cry,Low
Quercus oleoides,2019,Jul,0,QOLE,3582.825595,235.7122102,0,cry,Low
Quercus oleoides,2019,Aug,0,QOLE,3582.825595,235.7122102,0,cry,Low
Quercus oleoides,2019,Sep,0,QOLE,3582.825595,235.7122102,0,cry,High
Quercus oleoides,2019,Oct,0,QOLE,3582.825595,235.7122102,0,cry,High
Quercus oleoides,2019,Nov,0,QOLE,3582.825595,235.7122102,0,cry,High
Randia monantha,2019,Jun,0,RMON,479.8670316,31.57019944,0,con,Low
Randia monantha,2019,Jul,0,RMON,479.8670316,31.57019944,0,con,Low
Randia monantha,2019,Aug,0,RMON,479.8670316,31.57019944,0,con,Low
Randia monantha,2019,Sep,0,RMON,479.8670316,31.57019944,0,con,High
Randia monantha,2019,Oct,0.0546875,RMON,479.8670316,31.57019944,1.726495282,con,High
Randia monantha,2019,Nov,0,RMON,479.8670316,31.57019944,0,con,High
Randia thurberi,2019,Jun,0,RTHU,151.4723998,9.965289461,0,con,Low
Randia thurberi,2019,Jul,0,RTHU,151.4723998,9.965289461,0,con,Low
Randia thurberi,2019,Aug,0.026785714,RTHU,151.4723998,9.965289461,0.266927396,con,Low
Randia thurberi,2019,Sep,0.053571429,RTHU,151.4723998,9.965289461,0.533854793,con,High
Randia thurberi,2019,Oct,0.116071429,RTHU,151.4723998,9.965289461,1.156685384,con,High
Randia thurberi,2019,Nov,0.015625,RTHU,151.4723998,9.965289461,0.155707648,con,High
Sciadodendron excelsum,2019,Jun,0.03125,SEXC,155.3991396,10.22362761,0.319488363,dark,Low
Sciadodendron excelsum,2019,Jul,0,SEXC,155.3991396,10.22362761,0,dark,Low
Sciadodendron excelsum,2019,Aug,0.03125,SEXC,155.3991396,10.22362761,0.319488363,dark,Low
Sciadodendron excelsum,2019,Sep,0,SEXC,155.3991396,10.22362761,0,dark,High
Sciadodendron excelsum,2019,Oct,0,SEXC,155.3991396,10.22362761,0,dark,High
Sciadodendron excelsum,2019,Nov,0,SEXC,155.3991396,10.22362761,0,dark,High
Simarouba glauca,2019,Jun,0,SGLA,501.2619589,32.97776045,0,dark,Low
Simarouba glauca,2019,Jul,0,SGLA,501.2619589,32.97776045,0,dark,Low
Simarouba glauca,2019,Aug,0,SGLA,501.2619589,32.97776045,0,dark,Low
Simarouba glauca,2019,Sep,0,SGLA,501.2619589,32.97776045,0,dark,High
Simarouba glauca,2019,Oct,0,SGLA,501.2619589,32.97776045,0,dark,High
Simarouba glauca,2019,Nov,0,SGLA,501.2619589,32.97776045,0,dark,High
Sloanea terniflora,2019,Jun,0.03125,STER,331.5544962,21.8127958,0.681649869,con_both,Low
Sloanea terniflora,2019,Jul,0.09375,STER,331.5544962,21.8127958,2.044949607,con_both,Low
Sloanea terniflora,2019,Aug,0,STER,331.5544962,21.8127958,0,con_both,Low
Sloanea terniflora,2019,Sep,0.0234375,STER,331.5544962,21.8127958,0.511237402,con_both,High
Sloanea terniflora,2019,Oct,0,STER,331.5544962,21.8127958,0,con_both,High
Sloanea terniflora,2019,Nov,0,STER,331.5544962,21.8127958,0,con_both,High
Spondias mombin,2019,Jun,0,SMOM,5201.814776,342.2246563,0,con,Low
Spondias mombin,2019,Jul,0,SMOM,5201.814776,342.2246563,0,con,Low
Spondias mombin,2019,Aug,0,SMOM,5201.814776,342.2246563,0,con,Low
Spondias mombin,2019,Sep,0.015625,SMOM,5201.814776,342.2246563,5.347260255,con,High
Spondias mombin,2019,Oct,0.03125,SMOM,5201.814776,342.2246563,10.69452051,con,High
Spondias mombin,2019,Nov,0,SMOM,5201.814776,342.2246563,0,con,High
Spondias purpurea,2019,Jun,0,SPUR,252.9107036,16.63886208,0,con,Low
Spondias purpurea,2019,Jul,0,SPUR,252.9107036,16.63886208,0,con,Low
Spondias purpurea,2019,Aug,0,SPUR,252.9107036,16.63886208,0,con,Low
Spondias purpurea,2019,Sep,0,SPUR,252.9107036,16.63886208,0,con,High
Spondias purpurea,2019,Oct,0,SPUR,252.9107036,16.63886208,0,con,High
Spondias purpurea,2019,Nov,0,SPUR,252.9107036,16.63886208,0,con,High
Stemmadenia obovata,2019,Jun,0,SOBO,1048.935607,69.00892152,0,con_both,Low
Stemmadenia obovata,2019,Jul,0.046875,SOBO,1048.935607,69.00892152,3.234793196,con_both,Low
Stemmadenia obovata,2019,Aug,0,SOBO,1048.935607,69.00892152,0,con_both,Low
Stemmadenia obovata,2019,Sep,0,SOBO,1048.935607,69.00892152,0,con_both,High
Stemmadenia obovata,2019,Oct,0.015625,SOBO,1048.935607,69.00892152,1.078264399,con_both,High
Stemmadenia obovata,2019,Nov,0,SOBO,1048.935607,69.00892152,0,con_both,High
Trichilia martiana,2019,Jun,0,TMAR,132.4230279,8.712041307,0,con,Low
Trichilia martiana,2019,Jul,0,TMAR,132.4230279,8.712041307,0,con,Low
Trichilia martiana,2019,Aug,0.053571429,TMAR,132.4230279,8.712041307,0.466716499,con,Low
Trichilia martiana,2019,Sep,0.026785714,TMAR,132.4230279,8.712041307,0.233358249,con,High
Trichilia martiana,2019,Oct,0,TMAR,132.4230279,8.712041307,0,con,High
Trichilia martiana,2019,Nov,0,TMAR,132.4230279,8.712041307,0,con,High
Vachellia collinsii,2019,Jun,0.035714286,ACOL,1113.184577,73.23582742,2.615565265,con,Low
Vachellia collinsii,2019,Jul,0,ACOL,1113.184577,73.23582742,0,con,Low
Vachellia collinsii,2019,Aug,0,ACOL,1113.184577,73.23582742,0,con,Low
Vachellia collinsii,2019,Sep,0,ACOL,1113.184577,73.23582742,0,con,High
Vachellia collinsii,2019,Oct,0,ACOL,1113.184577,73.23582742,0,con,High
Vachellia collinsii,2019,Nov,0,ACOL,1113.184577,73.23582742,0,con,High
Zuelania guidonia,2019,Jun,0,ZGUI,1136.404701,74.76346714,0,con_both,Low
Zuelania guidonia,2019,Jul,0,ZGUI,1136.404701,74.76346714,0,con_both,Low
Zuelania guidonia,2019,Aug,0,ZGUI,1136.404701,74.76346714,0,con_both,Low
Zuelania guidonia,2019,Sep,0,ZGUI,1136.404701,74.76346714,0,con_both,High
Zuelania guidonia,2019,Oct,0,ZGUI,1136.404701,74.76346714,0,con_both,High
Zuelania guidonia,2019,Nov,0,ZGUI,1136.404701,74.76346714,0,con_both,High
Ficus cotinifolia,2019,Jun,0,FCOT,37465.66652,47.36493871,0,con,Low
Ficus cotinifolia,2019,Jul,0,FCOT,37465.66652,47.36493871,0,con,Low
Ficus cotinifolia,2019,Aug,0.0625,FCOT,37465.66652,47.36493871,2.960308669,con,Low
Ficus cotinifolia,2019,Sep,0.09375,FCOT,37465.66652,47.36493871,4.440463004,con,High
Ficus cotinifolia,2019,Oct,0.0625,FCOT,37465.66652,47.36493871,2.960308669,con,High
Ficus cotinifolia,2019,Nov,0,FCOT,37465.66652,47.36493871,0,con,High
Ficus goldmani,2019,Jun,0,FGOL,10147.6961,12.82894576,0,cry,Low
Ficus goldmani,2019,Jul,0.0234375,FGOL,10147.6961,12.82894576,0.300678416,cry,Low
Ficus goldmani,2019,Aug,0.03125,FGOL,10147.6961,12.82894576,0.400904555,cry,Low
Ficus goldmani,2019,Sep,0,FGOL,10147.6961,12.82894576,0,cry,High
Ficus goldmani,2019,Oct,0,FGOL,10147.6961,12.82894576,0,cry,High
Ficus goldmani,2019,Nov,0,FGOL,10147.6961,12.82894576,0,cry,High
Ficus hondurensis,2019,Jun,0,FHON,10616.91506,13.42214293,0,con,Low
Ficus hondurensis,2019,Jul,0.125,FHON,10616.91506,13.42214293,1.677767866,con,Low
Ficus hondurensis,2019,Aug,0.1796875,FHON,10616.91506,13.42214293,2.411791307,con,Low
Ficus hondurensis,2019,Sep,0.0703125,FHON,10616.91506,13.42214293,0.943744425,con,High
Ficus hondurensis,2019,Oct,0,FHON,10616.91506,13.42214293,0,con,High
Ficus hondurensis,2019,Nov,0.09375,FHON,10616.91506,13.42214293,1.2583259,con,High
Ficus morazaniana,2019,Jun,0,FMOR,9273.524244,11.72379803,0,cry,Low
Ficus morazaniana,2019,Jul,0,FMOR,9273.524244,11.72379803,0,cry,Low
Ficus morazaniana,2019,Aug,0,FMOR,9273.524244,11.72379803,0,cry,Low
Ficus morazaniana,2019,Sep,0,FMOR,9273.524244,11.72379803,0,cry,High
Ficus morazaniana,2019,Oct,0,FMOR,9273.524244,11.72379803,0,cry,High
Ficus morazaniana,2019,Nov,0,FMOR,9273.524244,11.72379803,0,cry,High
Ficus obtusifolia,2019,Jun,0,FOBT,6514.561974,8.235855845,0,cry,Low
Ficus obtusifolia,2019,Jul,0,FOBT,6514.561974,8.235855845,0,cry,Low
Ficus obtusifolia,2019,Aug,0,FOBT,6514.561974,8.235855845,0,cry,Low
Ficus obtusifolia,2019,Sep,0,FOBT,6514.561974,8.235855845,0,cry,High
Ficus obtusifolia,2019,Oct,0,FOBT,6514.561974,8.235855845,0,cry,High
Ficus obtusifolia,2019,Nov,0,FOBT,6514.561974,8.235855845,0,cry,High
Ficus ovalis,2019,Jun,0,FOVA,13614.30771,17.21151418,0,con_both,Low
Ficus ovalis,2019,Jul,0.0625,FOVA,13614.30771,17.21151418,1.075719636,con_both,Low
Ficus ovalis,2019,Aug,0.125,FOVA,13614.30771,17.21151418,2.151439272,con_both,Low
Ficus ovalis,2019,Sep,0.0625,FOVA,13614.30771,17.21151418,1.075719636,con_both,High
Ficus ovalis,2019,Oct,0,FOVA,13614.30771,17.21151418,0,con_both,High
Ficus ovalis,2019,Nov,0,FOVA,13614.30771,17.21151418,0,con_both,High
